लोग वतन तक खा जाते हैं इसका इसे यकीन नहींमान जाएगा तू ले जाकर दिल्ली इसे दिखा ला दोस्त,negative
गुमनाम है वतन पर मिटने वाले लोग आतन्कवादियों से मिलकर मशहूर हो गये,negative
ज़ंजीर बदली जा रही थी मैं समझा था रिहाई हो गयी है,negative
यूपी में बड़े स्तर पर दंगे करवा सकती है बीजेपी: मुलायम सिंह यादव - Navbharat Times,negative
अंग्रेजी नहीं आती है इसलिए हिन्दी ट्विट ज्यादा करता हूँ । निजी राय बुरा लगे तो भाड़ मे जा |,negative
कश्मीर में हो रहा है जल जिहाद ।,negative
परमपिता परमेश्वर अगर हिंदुस्तान मेँ दंगा होता हे ओर मनुष्य मरते हे हिंदुस्तान पुलिस झुकना माना जाएगा हिंदुस्तान पुलिस झुकना नहीँ चाहिए भारत,negative
संघर्ष में आदमी अकेला होता है सफलता में दुनिया उसके साथ होती है जब जब जग उस पर हसा है तब तब उसी ने नया इतिहास रचा है।,negative
मोहब्बत अंधी होती है,negative
तीखी बात में राम जेठमलानी ने गड्गरी पर तो इल्जाम लगा दिए जब की किसी सरकरी संस्था ने अभी इल्जाम नही लगया इतनी जिंदगी देखने पर आदमी का अहम्,negative
एक मुलाकात जरूरी है रिहा होने के लिये ।एक उम्र से कैद हूँ आँसू की तरह ।।,negative
माओवादियों की संपत्ति होगी कुर्क,negative
अगर मुलायम और अखिलेश चाहें तो UP में एक दंगा और करवा के बिल महेंद्र सिंह धोनी के नाम पे फाड़ सकते हैं।#IndvsEng,negative
जब तन्हा रातो में मोगैम्बो चिलाता है की मोगैम्बो खुश हुवा तो समझिये की मनमोहन सरकार के बुरे सपने याद आ गये,negative
काटजू को 1993 में मारे गए लोगों से कोई सहानुभूति नहीं है और उसका मूंह केवल और केवल कांग्रेस तथा इसके द्वारा समर्थित लोगो के लिए ही खुलता है।,negative
कुछ ऐसे भी हादसे होते है जिंदगी मेंइंसान बच तो जाता है परज़िंदा नहीं रहता शुभ रात्रि मित्रों 😁,negative
#News तीन साल बाथरूम में बंद रही विवाहिता Follow,negative
तीन साल बाथरूम में बंद रही विवाहिता: दहेज प्रताड़ना शिकार बिहार के दरभंगा जिला निवासी गुंजा तीन साल बाद रविवार,negative
क़सम से युपीए 3 आई तो मै भी कांग्रेसी बन जांऊगा साला कब तक ईमानदार बन अपना ही घर जलाऊँगा?,negative
पवन और अश्विनी का इस्तीफा होना ही नहीं था आज चोर ग्रुप में डिसिशन इसलिए हुआ की कर्णाटक का चुनाव था जिससे क्रेडिबिलिटी वोट पर असर ना पड़े,negative
बुला कर तुमने महफ़िल में हमको गैरों से उठवाया हमीं खुद उठ गए होते इशारा कर दिया होता NaushadLakhnavi,negative
#BJP की संवैधानिक तिकड़म-संविधान की धारा का गलत हवाला देकर सीक्रेट बैलट (जो होता ही नहीं) से दिल्ली में सरकार बनाने की अलोकतांत्रिक साजिश।,negative
मुझे ये बयान पर कोई शिकायत नहीं है. हम को शिकायत है तो केंद्र सरकार के गृह मंत्रालय से है सुप्रीम कोर्ट से है.,negative
जम्मू-कश्मीर: भूस्खलन होने की वजह से 7 लोगो की मौत हो गई जबकि 20 लोग अब भी लापता है।,negative
माओवादियों की संपत्ति होगी कुर्क,negative
अब सभी ताकतें एक दुसरे से जुदा हैं और आपस में बर्चस्व की लड़ाई लड़ रहे हैं।,negative
जो जम्मू कश्मीर में हो रहा है उसे जल जिहाद कहते हैं।।,negative
खुदा को भूल उन्हीं के आगे दामन फैलायाजिनके मरने की दुआएं मांगी थी खुदा से,negative
सारे धर्मोन्मादी हिटलरपंथी जो आरएसएसिए आईएस-अलकायदा को लेकर भारत में धर्मोन्माद फैला रहे दरअसल वे आईएस जैसा ही पाप करते जा रहे,negative
हुर्रियत जेहादी यासिन मलिक और आजाद कश्मीर चिलाने वाले कश्मीर को बचाने आगे नहीं आएंगे #JammuKashmirFloods. #KashmirFloods,negative
मन्नूजी पिछले 10 सालो में संविधान की पूजा ही उतारते रहे है? कांग्रेसी लोग कितने बेशर्म है।,negative
नशे में चूर बाबा घर लौटते हुए।शुभरात्रि।,negative
इसी का तो खौफ है। पहले इन्होंने Iraq और Syria मे लोगों को शिया-सुन्नी-कुर्द-अलावाई-अरबी-फार्सी और कबीलाओं में बाँटा।,negative
you are getting wrong. अन्ना के समय लोगों में जबरदस्त गुस्सा था now they have corrupt but popular govt.,negative
निठारी हत्या कांड : सुरेंदर कोहली की फाँसी का समय निकट आते ही मेरठ जेल में जल्लाद की खोज शुरू हो गयी है।,negative
सखी सइयाँ तो खूब कामात है मेहंगाई डायन्न खाई जात है.,negative
केजरीवालजी को आज कल ये चिन्ता खाए जा रही है की अगर CM न बने तो जो मानहानि केे मुकदमो मे करोड़ो कीpenaltyभरनी है वो कहा से लाऐंगे #JaiHoNeta,negative
दिल बहुत ही हरामी कामिनी चीज़ होती है अच्छे खासे हस्ते खेलते आदमी को सेंटियापा काएडमिन बना देती है #SadStoriesOfTwitter,negative
दुनिया में यह बहुत बड़ी समस्या है कि मूर्ख और कट्टरपंथी अपने आप को बहुत बड़ा समझते हैं जबकि समझदार लोग हमेशा अपनी काबलियत पर संदेह करते हैं।,negative
तो फिर फेंक अाई डी क्यों बनाई है गर्व के साथ अापना नाम लेने में शर्म कैसी क्या सिर्फ गालियां देने के लिये,negative
जनार्दन द्विवेदी ने की टीम राहुल की बोलती बंद via,negative
परमपिता परमेश्वर जो मनुष्य के आत्महत्या करता हे उसका जन्म मनुष्य कभी नहीँ बनता परमपिता परमेश्वर के खिलाफ नहीँ जाना चाहिए परम पिता परमेश्वर,negative
C C शाहरुख़ ने 50 के नजदीक पहुँच के ऐसी बॉडी बना ली और यहाँ साला भरी जवानी में गर्भवती बनके घूम रहे हैं।,negative
संपत्ति वाला माओवादी पहली बार सुने माओवादियों की संपत्ति होगी कुर्क,negative
